,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
233,1576368000000,0.01360000,0.01465000,0.01316000,0.01422000,1000674253.40000000,1576454399999,14097386.95010400,23675,490659235.20000000,6915019.75552700,0,MATICUSDT
234,1576454400000,0.01421000,0.01462000,0.01290000,0.01320000,947149789.00000000,1576540799999,13126163.29467600,24313,432388575.10000000,5995999.18301600,0,MATICUSDT
235,1576540800000,0.01320000,0.01330000,0.01170000,0.01208000,897035940.30000000,1576627199999,11226311.52940400,24618,412390186.10000000,5161461.48167400,0,MATICUSDT
236,1576627200000,0.01210000,0.01350000,0.01126000,0.01270000,954915615.90000000,1576713599999,11806185.82438000,23374,468784923.80000000,5806991.24311800,0,MATICUSDT
237,1576713600000,0.01271000,0.01315000,0.01221000,0.01314000,434280462.20000000,1576799999999,5544455.24124700,12943,205033112.70000000,2622241.79546100,0,MATICUSDT
238,1576800000000,0.01314000,0.01585000,0.01312000,0.01557000,1683680305.90000000,1576886399999,24868658.05595100,49491,797228043.50000000,11771790.08401100,0,MATICUSDT
239,1576886400000,0.01555000,0.01840000,0.01520000,0.01798000,1560964123.50000000,1576972799999,26723925.12527100,52017,780235668.20000000,13339657.80954100,0,MATICUSDT
240,1576972800000,0.01798000,0.01998000,0.01500000,0.01614000,2208662697.20000000,1577059199999,37509463.43414400,72743,1016762975.40000000,17296126.95651500,0,MATICUSDT
241,1577059200000,0.01614000,0.01628000,0.01463000,0.01508000,1116971022.20000000,1577145599999,17429715.41970000,39147,507258337.60000000,7917946.90174400,0,MATICUSDT
242,1577145600000,0.01508000,0.01619000,0.01476000,0.01613000,603164613.00000000,1577231999999,9323577.80721200,25496,305989420.60000000,4735091.97927000,0,MATICUSDT
243,1577232000000,0.01613000,0.01698000,0.01510000,0.01564000,692544947.70000000,1577318399999,11192268.07763100,29914,329174033.40000000,5325329.96210600,0,MATICUSDT
244,1577318400000,0.01562000,0.01635000,0.01525000,0.01566000,394179878.70000000,1577404799999,6224340.93760900,16463,172207701.80000000,2721750.12933900,0,MATICUSDT
245,1577404800000,0.01563000,0.01585000,0.01451000,0.01518000,348584709.00000000,1577491199999,5283708.14394900,15315,156861311.10000000,2376834.10280400,0,MATICUSDT
246,1577491200000,0.01519000,0.01546000,0.01492000,0.01494000,167633035.00000000,1577577599999,2533570.07861300,7879,72909038.40000000,1103203.25420600,0,MATICUSDT
247,1577577600000,0.01494000,0.01539000,0.01455000,0.01474000,286595877.40000000,1577663999999,4277720.96537600,12136,124740420.90000000,1865480.81434500,0,MATICUSDT
248,1577664000000,0.01473000,0.01496000,0.01420000,0.01427000,182360796.30000000,1577750399999,2656443.79665000,8519,82140417.90000000,1196387.31036600,0,MATICUSDT
249,1577750400000,0.01428000,0.01451000,0.01366000,0.01379000,220977375.50000000,1577836799999,3098512.90414300,8946,105536134.50000000,1481035.91494100,0,MATICUSDT
250,1577836800000,0.01379000,0.01550000,0.01375000,0.01496000,491078226.70000000,1577923199999,7311407.72866000,17742,242315468.50000000,3603598.99746800,0,MATICUSDT
251,1577923200000,0.01498000,0.01578000,0.01428000,0.01467000,633705645.20000000,1578009599999,9583535.68849100,23478,308291687.10000000,4669770.19298400,0,MATICUSDT
252,1578009600000,0.01466000,0.01543000,0.01417000,0.01512000,381462323.70000000,1578095999999,5710504.36672200,16134,183264981.40000000,2746265.62565400,0,MATICUSDT
253,1578096000000,0.01513000,0.01549000,0.01473000,0.01484000,230291045.90000000,1578182399999,3475453.31344300,10170,105168088.40000000,1589870.56996900,0,MATICUSDT
254,1578182400000,0.01482000,0.01516000,0.01464000,0.01483000,185917300.10000000,1578268799999,2779375.44260900,8522,74006013.90000000,1107409.76682100,0,MATICUSDT
255,1578268800000,0.01482000,0.01595000,0.01476000,0.01554000,398548143.90000000,1578355199999,6145236.66324000,16309,200595531.60000000,3091417.19804100,0,MATICUSDT
256,1578355200000,0.01556000,0.01569000,0.01476000,0.01509000,372258630.10000000,1578441599999,5678525.81112600,16809,179006609.80000000,2735882.99857800,0,MATICUSDT
257,1578441600000,0.01508000,0.01532000,0.01469000,0.01499000,333818052.20000000,1578527999999,5015420.28351200,14394,143157178.40000000,2153719.55854900,0,MATICUSDT
258,1578528000000,0.01500000,0.01514000,0.01442000,0.01459000,179884184.10000000,1578614399999,2653793.00633200,9356,73881570.90000000,1091249.74103700,0,MATICUSDT
