,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
120,1.5673E+12,2019/9/1,0.0269,0.0269,0.0269,0.0269,2228,BCT_USDT
121,1.56738E+12,2019/9/2,0.027,0.027,0.027,0.027,81,BCT_USDT
122,1.56747E+12,2019/9/3,0.027,0.027,0.027,0.027,0,BCT_USDT
123,1.56756E+12,2019/9/4,0.027,0.027,0.027,0.027,0,BCT_USDT
124,1.56764E+12,2019/9/5,0.027,0.027,0.027,0.027,0,BCT_USDT
125,1.56773E+12,2019/9/6,0.027,0.027,0.027,0.027,10000,BCT_USDT
126,1.56781E+12,2019/9/7,0.027,0.027,0.027,0.027,0,BCT_USDT
127,1.5679E+12,2019/9/8,0.027,0.027,0.027,0.027,0,BCT_USDT
128,1.56799E+12,2019/9/9,0.027,0.027,0.027,0.027,0,BCT_USDT
129,1.56807E+12,2019/9/10,0.027,0.027,0.027,0.027,202,BCT_USDT
130,1.56816E+12,2019/9/11,0.027,0.027,0.027,0.027,0,BCT_USDT
131,1.56825E+12,2019/9/12,0.027,0.027,0.027,0.027,0,BCT_USDT
132,1.56833E+12,2019/9/13,0.027,0.027,0.027,0.027,0,BCT_USDT
133,1.56842E+12,2019/9/14,0.027,0.027,0.027,0.027,0,BCT_USDT
134,1.56851E+12,2019/9/15,0.027,0.027,0.027,0.027,0,BCT_USDT
135,1.56859E+12,2019/9/16,0.027,0.027,0.027,0.027,0,BCT_USDT
136,1.56868E+12,2019/9/17,0.027,0.027,0.027,0.027,0,BCT_USDT
137,1.56876E+12,2019/9/18,0.027,0.027,0.027,0.027,0,BCT_USDT
138,1.56885E+12,2019/9/19,0.027,0.027,0.027,0.027,0,BCT_USDT
139,1.56894E+12,2019/9/20,0.027,0.027,0.027,0.027,0,BCT_USDT
140,1.56902E+12,2019/9/21,0.027,0.027,0.027,0.027,19717,BCT_USDT
141,1.56911E+12,2019/9/22,0.027,0.027,0.027,0.027,0,BCT_USDT
142,1.5692E+12,2019/9/23,0.027,0.027,0.027,0.027,0,BCT_USDT
143,1.56928E+12,2019/9/24,0.027,0.027,0.027,0.027,0,BCT_USDT
144,1.56937E+12,2019/9/25,0.027,0.027,0.027,0.027,0,BCT_USDT
145,1.56946E+12,2019/9/26,0.027,0.027,0.027,0.027,0,BCT_USDT
146,1.56954E+12,2019/9/27,0.027,0.027,0.027,0.027,0,BCT_USDT
147,1.56963E+12,2019/9/28,0.027,0.027,0.027,0.027,0,BCT_USDT
148,1.56972E+12,2019/9/29,0.027,0.027,0.027,0.027,0,BCT_USDT
149,1.5698E+12,2019/9/30,0.027,0.027,0.027,0.027,0,BCT_USDT
150,1.56989E+12,2019/10/1,0.027,0.027,0.027,0.027,0,BCT_USDT
151,1.56997E+12,2019/10/2,0.0261,0.0261,0.0261,0.0261,4135,BCT_USDT
152,1.57006E+12,2019/10/3,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
153,1.57015E+12,2019/10/4,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
154,1.57023E+12,2019/10/5,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
155,1.57032E+12,2019/10/6,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
156,1.57041E+12,2019/10/7,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
157,1.57049E+12,2019/10/8,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
158,1.57058E+12,2019/10/9,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
159,1.57067E+12,2019/10/10,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
