,time,open,close,highest,lowest,volume,amount,market_name
174,1577059200,0.00030165,0.00028463,0.00039940,0.00028212,1556336310.67984220,457100.0722929016437563,BTTUSDT
175,1577145600,0.00028465,0.00028036,0.00028481,0.00027602,1518079307.83896779,425952.7340335341363924,BTTUSDT
176,1577232000,0.00028038,0.00027902,0.00028268,0.00027463,1440490939.28390000,400754.3493026354030000,BTTUSDT
177,1577318400,0.00027904,0.00027465,0.00028489,0.00027251,1432967771.58181248,399710.1384060528987001,BTTUSDT
178,1577404800,0.00027463,0.00027131,0.00027980,0.00026600,1456925953.19457431,397781.0387672678165112,BTTUSDT
179,1577491200,0.00027075,0.00026729,0.00028295,0.00026714,78793944.42952503,21444.4775124957592687,BTTUSDT
180,1577577600,0.00027324,0.00029290,0.00029291,0.00027220,866643125.75334605,237829.8265398892479023,BTTUSDT
181,1577664000,0.00029430,0.00029913,0.00032508,0.00029238,2429546118.95294572,750944.2886557050543634,BTTUSDT
182,1577750400,0.00029921,0.00028771,0.00031999,0.00028511,2578076696.54817921,760533.1955955827424723,BTTUSDT
183,1577836800,0.00028773,0.00028454,0.00029436,0.00028365,2546960760.91345616,737422.5396476461337200,BTTUSDT
184,1577923200,0.00028456,0.00027398,0.00028548,0.00027069,2562182787.11650000,713857.2805908360740000,BTTUSDT
185,1578009600,0.00027400,0.00028515,0.00029255,0.00027082,2135852786.59016942,606912.6545044444215324,BTTUSDT
186,1578096000,0.00028513,0.00028702,0.00029088,0.00028280,1436120594.54190000,413126.2387537059530000,BTTUSDT
187,1578182400,0.00028695,0.00028860,0.00030243,0.00028600,1452115003.84902105,427749.3026104912137646,BTTUSDT
188,1578268800,0.00028863,0.00030884,0.00030976,0.00028739,1457561392.88033180,434722.2616672419638764,BTTUSDT
189,1578355200,0.00030882,0.00029162,0.00031044,0.00028635,1471313461.53293716,438263.7183924734347225,BTTUSDT
190,1578441600,0.00029164,0.00029313,0.00035731,0.00028649,1770142613.09162901,520899.9148539690543000,BTTUSDT
