,time,open,close,high,low,volume,turnover,market_name
302,1566950400,0.0039,0.0034777,0.0040248,0.0033713,1243485.713,4618.4339518116,MTV-KCS
303,1566864000,0.0041403,0.0039027,0.0041403,0.0038255,183236.16314052,721.306515686534508,MTV-KCS
304,1566777600,0.0039104,0.00414,0.0042,0.0039104,299755.693,1233.10274145538,MTV-KCS
305,1566691200,0.0038302,0.0039027,0.0040249,0.0036697,420115.7039,1608.47439547355,MTV-KCS
306,1566604800,0.0040707,0.0038416,0.0040708,0.0036697,824252.6273,3234.56612559602,MTV-KCS
307,1566518400,0.00418,0.0040707,0.0042388,0.0039422,752451.0634,3042.21866588719,MTV-KCS
308,1566432000,0.0041722,0.00418,0.0046327,0.0041111,266110.7558831,1155.06649877776723,MTV-KCS
309,1566345600,0.004071,0.0041876,0.0045333,0.003942,814403.0861169,3320.76868529255277,MTV-KCS
310,1566259200,0.003995,0.0040913,0.004307,0.0039452,2896245.0734,11927.02265827625,MTV-KCS
311,1566172800,0.0036582,0.003995,0.0055555,0.0036023,5023081.54475384,20869.60566954074812,MTV-KCS
312,1566086400,0.0036228,0.0036582,0.0037958,0.003591,1867051.8676,6857.61016167095,MTV-KCS
313,1566000000,0.0041362,0.0036213,0.0041362,0.0035583,3103407.8405,11437.69496927212,MTV-KCS
314,1565913600,0.0044093,0.0041362,0.0046147,0.0039657,2079596.3467,9055.32188513261,MTV-KCS
315,1565827200,0.00429,0.0044093,0.0044435,0.0041398,3179193.9998,13716.75668404561,MTV-KCS
316,1565740800,0.0047146,0.0043061,0.0047147,0.0040809,1986747.7746,8429.6086555818,MTV-KCS
317,1565654400,0.0048265,0.004695,0.0048718,0.0046352,1803565.9099,8554.64551191645,MTV-KCS
318,1565568000,0.0050402,0.0048307,0.005178,0.0047744,1182196.2258,5893.19968081699,MTV-KCS
319,1565481600,0.0050912,0.0050333,0.005178,0.0049175,1401758.1599,7047.5865246198,MTV-KCS
320,1565395200,0.0049938,0.0050622,0.0051326,0.0046,2444087.0079,11964.32170604687,MTV-KCS
321,1565308800,0.0046531,0.0049713,0.0053012,0.0046404,2371060.9623,11603.81682458728,MTV-KCS
322,1565222400,0.0047959,0.0046278,0.0048127,0.0045058,2058766.5153,9586.45879062571,MTV-KCS
323,1565136000,0.00484,0.0047653,0.0049795,0.0045545,936052.04514957,4501.118508237679843,MTV-KCS
324,1565049600,0.004945,0.00484,0.0050181,0.0046453,1550044.285,7504.46147674434,MTV-KCS
325,1564963200,0.0048688,0.0049464,0.0051036,0.00485,2156709.9636,10716.07543659931,MTV-KCS
326,1564876800,0.0049456,0.00485,0.0049866,0.00485,1317378.3987,6496.7980215937,MTV-KCS
327,1564790400,0.0055087,0.0049446,0.0055723,0.0048571,2126702.80097423,10982.108761983444646,MTV-KCS
328,1564704000,0.0052947,0.0055086,0.0056339,0.0050282,2392548.6235,12973.23189974971,MTV-KCS
329,1564617600,0.0051158,0.0052947,0.0054699,0.005,3624714.86070627,18613.010144915372317,MTV-KCS
330,1564531200,0.0050889,0.0051158,0.0052,0.0049204,1961979.70789373,9944.197501948137683,MTV-KCS
331,1564444800,0.0051144,0.0050602,0.0053614,0.004686,3968094.85130019,20104.858791184431915,MTV-KCS
332,1564358400,0.0062878,0.0051222,0.0063358,0.0050697,2809667.0566692,15546.409601635226477,MTV-KCS
333,1564272000,0.0057494,0.0062583,0.0063284,0.0053616,2605181.4659,15545.45721213827,MTV-KCS
334,1564185600,0.0050004,0.0057781,0.0058433,0.005,3428240.7271,18153.88076931333,MTV-KCS
335,1564099200,0.0051662,0.0050022,0.0053999,0.0046329,2256222.6161,11488.24987574024,MTV-KCS
336,1564012800,0.0041788,0.0051807,0.0053188,0.0040179,2809457.1548,12283.1481984894,MTV-KCS
337,1563926400,0.0042534,0.0041917,0.004427,0.0041744,2324503.8634,9919.15992979871,MTV-KCS
338,1563840000,0.0038195,0.0042416,0.004851,0.0038084,3777397.7457,15155.88774449836,MTV-KCS
339,1563753600,0.0039457,0.0038085,0.0039881,0.003791,5394962.608,20879.20009750388,MTV-KCS
340,1563667200,0.0039772,0.0039328,0.004147,0.0038874,5627726.4705,22557.0245524833,MTV-KCS
341,1563580800,0.0039146,0.0039722,0.0039722,0.0037902,2889186.3871,11164.62393967408,MTV-KCS
342,1563494400,0.0041097,0.003909,0.0041097,0.0039051,2314783.5903,9224.15921035398,MTV-KCS
343,1563408000,0.0040831,0.0040989,0.0041461,0.004,2976876.4123,12073.6162234283,MTV-KCS
344,1563321600,0.0038198,0.0040831,0.0041756,0.00373,3725843.51501507,14779.41772687733,MTV-KCS
345,1563235200,0.0037429,0.0038298,0.0039068,0.0035,5134024.95418921,19106.740503574030635,MTV-KCS
346,1563148800,0.0037176,0.0037372,0.0039499,0.0035371,5153731.2093,18967.05811938312,MTV-KCS
347,1563062400,0.0036249,0.0037179,0.00385,0.00346,5320035.59324347,19450.511871899212207,MTV-KCS
348,1562976000,0.0036037,0.0036037,0.0038381,0.0035681,7618202.61515653,28007.062081244017793,MTV-KCS
349,1562889600,0.0035571,0.0036037,0.0037115,0.0034806,5991165.9802,21708.80834528178,MTV-KCS
350,1562803200,0.0036123,0.0035492,0.0037127,0.0034458,5358150.497,18749.28661606272,MTV-KCS
351,1562716800,0.0036516,0.0036007,0.0037127,0.0033525,2896304.6526,10236.11089858254,MTV-KCS
352,1562630400,0.0033627,0.0036608,0.0037127,0.0032677,3078280.0671,10689.53127766141,MTV-KCS
353,1562544000,0.0032717,0.0033474,0.0035854,0.003147,4179612.7108,13787.03388393255,MTV-KCS
354,1562457600,0.0031442,0.0032731,0.0032888,0.0030982,5017998.1979,16041.24927674916,MTV-KCS
355,1562371200,0.0034995,0.0031442,0.0035008,0.0030981,8105947.1191,26473.85202803625,MTV-KCS
356,1562284800,0.0035161,0.0034789,0.0036703,0.0032591,9800398.8243,34362.35802407206,MTV-KCS
357,1562198400,0.0035288,0.0035296,0.003614,0.0031927,10188178.5865,34714.39965913275,MTV-KCS
358,1562112000,0.0035291,0.0035287,0.0037084,0.003395,10768647.1926,38118.17422309161,MTV-KCS
359,1562025600,0.0036478,0.0035389,0.0038998,0.0034711,9709853.32092783,35193.33779356817612,MTV-KCS
360,1561939200,0.0034858,0.0036344,0.0036916,0.0032716,8863195.3131,30287.41061116488,MTV-KCS
361,1561852800,0.0033563,0.0034665,0.0035662,0.0032716,8228197.3758,28458.56573015892,MTV-KCS
362,1561766400,0.0035291,0.0033456,0.0037481,0.0033225,13462400.6234,46124.0809008083,MTV-KCS
363,1561680000,0.0034248,0.003519,0.004,0.0031295,4122178.26938493,14392.81717583487,MTV-KCS
364,1561593600,0.003,0.0034071,0.004,0.0028765,1222897.5324,4220.47365765889,MTV-KCS
365,1561507200,0.0032902,0.0029163,0.0036326,0.0029163,443549.143,1517.41414077022,MTV-KCS
366,1561420800,0.003558,0.0032602,0.0036125,0.003,446257.0066,1410.34779036586,MTV-KCS
367,1561334400,0.0036799,0.003558,0.00395,0.0031551,322880.06110462,1155.142893520829,MTV-KCS
368,1561248000,0.0034216,0.0036517,0.0039387,0.0033448,548217.8676043,1959.497686564731754,MTV-KCS
369,1561161600,0.0035413,0.0034216,0.0037265,0.0032504,586930.26675954,2044.059389523716944,MTV-KCS
370,1561075200,0.003774,0.0035413,0.0039615,0.0035,599045.0573,2173.95645610199,MTV-KCS
371,1560988800,0.0039755,0.0037827,0.0041678,0.003605,1094122.47434057,4266.870815558338575,MTV-KCS
372,1560902400,0.0041927,0.0039755,0.004313,0.0039471,804110.67308123,3336.434882249712305,MTV-KCS
