asset,day,close,volume
celer-network,2019-12-17,0.0033720983,4441023.53629939
celer-network,2019-12-18,0.0036349655,5289354.61293306
celer-network,2019-12-19,0.0037338755,4741922.96475812
celer-network,2019-12-20,0.0038686704,5012466.31768969
celer-network,2019-12-21,0.004012159,5440036.26351977
celer-network,2019-12-22,0.003999496,5828686.23068281
celer-network,2019-12-23,0.0036715446,5134198.06940497
celer-network,2019-12-24,0.003749262,4200139.91777876
celer-network,2019-12-25,0.0036601892,4343356.3122987
celer-network,2019-12-26,0.0036451733,4533181.21856164
celer-network,2019-12-27,0.003722544,4019329.0005718
celer-network,2019-12-28,0.0037259175,4570627.5047311
celer-network,2019-12-29,0.0037716683,4895330.58661578
celer-network,2019-12-30,0.0036929892,4233197.73327488
celer-network,2019-12-31,0.0035684637,3934793.23277485
celer-network,2020-01-01,0.0036196406,4369490.85600979
celer-network,2020-01-02,0.0034045167,4185266.8289327
celer-network,2020-01-03,0.0035539372,5053836.68702868
celer-network,2020-01-04,0.0035824107,3985428.75230954
celer-network,2020-01-05,0.0035165441,4386609.80696112
celer-network,2020-01-06,0.003573325,3890670.98144177
celer-network,2020-01-07,0.0034704367,4798985.48095952
celer-network,2020-01-08,0.0034064688,4587417.32626084
celer-network,2020-01-09,0.0033475428,3335272.38637791
celer-network,2020-01-10,0.0032522883,4120926.26377369
celer-network,2020-01-11,0.003341216,2944189.43083396
celer-network,2020-01-12,0.003452341,3189574.9062692
celer-network,2020-01-13,0.0035280394,3080396.75317081
celer-network,2020-01-14,0.0034235711,4584210.51714306
celer-network,2020-01-15,0.0035304409,5009769.21766366
celer-network,2020-01-16,0.0034746053,3589916.88237164
celer-network,2020-01-17,0.0036525035,4609775.29694461
celer-network,2020-01-18,0.0036754112,3078186.90961209
celer-network,2020-01-19,0.0033617055,4282029.96405743
celer-network,2020-01-20,0.0032600765,3834118.11029213
celer-network,2020-01-21,0.0032994975,3241897.76508377
celer-network,2020-01-22,0.0032834932,3712392.3556305
celer-network,2020-01-23,0.0032068614,3727767.82567866
celer-network,2020-01-24,0.0032420456,3292194.40496054
celer-network,2020-01-25,0.003408551,3694582.58596229
celer-network,2020-01-26,0.0033534768,4183509.6389001
celer-network,2020-01-27,0.003314227,3264225.05530515
celer-network,2020-01-28,0.0033445691,2900880.32294624
celer-network,2020-01-29,0.0031978537,3778537.0712229
celer-network,2020-01-30,0.0032204783,4142982.77796191
celer-network,2020-01-31,0.0032330754,4101040.65229542
celer-network,2020-02-01,0.003289169,3328286.41170257
celer-network,2020-02-02,0.0034143417,3288535.2440916
celer-network,2020-02-03,0.0036092557,4585067.87124648
celer-network,2020-02-04,0.0037383412,5119077.39855527
celer-network,2020-02-05,0.0036455889,4510042.22191324
celer-network,2020-02-06,0.004094681,6399424.53194785
celer-network,2020-02-07,0.004175773,5254912.11835963
celer-network,2020-02-08,0.0041385368,5744872.23289684
celer-network,2020-02-09,0.0042432225,5194955.4044742
celer-network,2020-02-10,0.0045613493,6415107.8223935
celer-network,2020-02-11,0.004564094,5325612.90695359
celer-network,2020-02-12,0.0047263294,5254577.73702857
celer-network,2020-02-13,0.0049464577,8951235.33080149
celer-network,2020-02-14,0.005508356,8370603.47105865
celer-network,2020-02-15,0.0047888025,5959304.17186523
celer-network,2020-02-16,0.004302758,6120828.29077996
celer-network,2020-02-17,0.004182086,5198050.87353784
celer-network,2020-02-18,0.0044629695,5233461.55393758
celer-network,2020-02-19,0.0041268035,3356599.95887495
celer-network,2020-02-20,0.003878813,4681304.75848958
celer-network,2020-02-21,0.003962582,4537556.94266052
celer-network,2020-02-22,0.003920788,4676783.96152398
celer-network,2020-02-23,0.0041800896,5260615.77788868
celer-network,2020-02-24,0.0039201393,6515538.78841138
celer-network,2020-02-25,0.003597154,4241759.45154627
celer-network,2020-02-26,0.0032305056,4694317.32074498
celer-network,2020-02-27,0.003313969,4494780.57826698
celer-network,2020-02-28,0.0034425035,5751339.11299944
celer-network,2020-02-29,0.0033276628,4204890.79668532
celer-network,2020-03-01,0.003257545,3172446.03719345
celer-network,2020-03-02,0.003478689,5077040.93480926
celer-network,2020-03-03,0.0035290788,5767508.05320656
celer-network,2020-03-04,0.003593096,5722567.91499088
celer-network,2020-03-05,0.0036546167,4754418.55525726
celer-network,2020-03-06,0.0036241368,6330057.22166762
celer-network,2020-03-07,0.0035256837,7092768.78414401
celer-network,2020-03-08,0.0029831426,5568477.43958796
celer-network,2020-03-09,0.0029140706,4434066.74162298
celer-network,2020-03-10,0.0029083,3738449.45298439
celer-network,2020-03-11,0.0028360428,3417400.4563002
celer-network,2020-03-12,0.0013511444,4166613.29473039
celer-network,2020-03-13,0.0013722545,5552212.66217262
celer-network,2020-03-14,0.0013312482,4018179.71022736
celer-network,2020-03-15,0.0014092728,4085179.6178567
celer-network,2020-03-16,0.0011146761,3780808.91966459
celer-network,2020-03-17,0.0012699441,4765347.87517298
celer-network,2020-03-18,0.0012224172,4085435.91340931
celer-network,2020-03-19,0.0016034064,6123949.31268945
celer-network,2020-03-20,0.0014928497,4712460.39184343
celer-network,2020-03-21,0.0015008015,3600238.04508782
celer-network,2020-03-22,0.0013768775,2880512.59054135
celer-network,2020-03-23,0.0015027077,4714716.63110043
celer-network,2020-03-24,0.001492447,7313668.41924606
celer-network,2020-03-25,0.001486539,4845413.26014983
celer-network,2020-03-26,0.0017335123,7481221.40919545
celer-network,2020-03-27,0.0016026278,5688486.08878056
celer-network,2020-03-28,0.0015187565,4992493.17501427
celer-network,2020-03-29,0.0014721073,3884987.10064273
celer-network,2020-03-30,0.001563838,6058506.77124395
celer-network,2020-03-31,0.0015923219,5988727.39297554
celer-network,2020-04-01,0.0015933241,5662615.59474331
celer-network,2020-04-02,0.0015866908,4500493.56247871
celer-network,2020-04-03,0.0016317278,4789940.77806787
celer-network,2020-04-04,0.0016325016,4564875.81478191
celer-network,2020-04-05,0.0016278526,6616227.54406461
celer-network,2020-04-06,0.0017268448,5910544.18171372
celer-network,2020-04-07,0.0017405086,4654504.74337936
celer-network,2020-04-08,0.00175139,4222115.64737794
celer-network,2020-04-09,0.0018187135,5337606.53265627
celer-network,2020-04-10,0.0016180974,4261197.81567305
celer-network,2020-04-11,0.0016231044,5336655.86472166
celer-network,2020-04-12,0.001635139,5817625.16092804
celer-network,2020-04-13,0.0015047775,6122320.94315321
celer-network,2020-04-14,0.0015121703,5408962.72584409
celer-network,2020-04-15,0.0014804978,5633998.41583478
celer-network,2020-04-16,0.0015843551,4977719.79510312
celer-network,2020-04-17,0.0016119761,5936179.69829804
celer-network,2020-04-18,0.001704063,8710709.82157908
celer-network,2020-04-19,0.0016460408,5200665.12989255
celer-network,2020-04-20,0.001550373,4944234.21922034
celer-network,2020-04-21,0.0015654184,5109529.65656573
celer-network,2020-04-22,0.0016347687,6971909.57892895
celer-network,2020-04-23,0.0016889264,3392977.98294921
celer-network,2020-04-24,0.0019380262,3949066.75633498
celer-network,2020-04-25,0.0019662715,3525218.49337543
celer-network,2020-04-26,0.0020358015,2987869.92716362
celer-network,2020-04-27,0.00190289,2453770.20863726
celer-network,2020-04-28,0.0019002849,1993979.41833024
celer-network,2020-04-29,0.0019864782,2688048.36850964
celer-network,2020-04-30,0.0019352069,2786172.51654773
celer-network,2020-05-01,0.0019638387,2254923.63307753
celer-network,2020-05-02,0.0019999493,2374873.56540233
celer-network,2020-05-03,0.0019670394,2302228.01592457
celer-network,2020-05-04,0.0019209946,2165425.12604774
celer-network,2020-05-05,0.0021343578,3230545.443421
celer-network,2020-05-06,0.002068875,3006247.67507788
celer-network,2020-05-07,0.0019587413,2630266.97799247
celer-network,2020-05-08,0.0020081226,2346935.7931795
celer-network,2020-05-09,0.002037861,2431900.50722289
celer-network,2020-05-10,0.0018580515,2264947.1099739
celer-network,2020-05-11,0.0018224288,2235221.99436672
celer-network,2020-05-12,0.0018627724,1964104.26094756
celer-network,2020-05-13,0.0021060284,2504614.0189683
celer-network,2020-05-14,0.0023391442,3484777.91842282
celer-network,2020-05-15,0.0023970443,3077051.04188457
celer-network,2020-05-16,0.0027632564,5477560.64467961
celer-network,2020-05-17,0.0025994119,3184795.70076539
celer-network,2020-05-18,0.0026249702,1862507.52167534
celer-network,2020-05-19,0.002594244,1886691.8911462
celer-network,2020-05-20,0.0025033783,1363804.13716566
celer-network,2020-05-21,0.0024060733,2031907.51327441
